speed_ticks,speed,Kalman_gain,posterior_x_phi,omega_x,omega_y,omega_z,m_lean_angle_meas,m_lean_angle,bias,lean_rate,enc_counts_hand,enc_counts_fork,m_hand_angle,m_fork_angle,steer_rate,voltage_mtr_driver,m_lean_torque,sil_command,post_fork_pwm,post_hand_pwm,command_hand
0,0.00,0.00030,0.00238,0.00,-0.02,-0.01,-0.00,0.00237,0.00,0.00364,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00031,0.00241,0.00,-0.01,-0.01,-0.00,0.00241,0.00,0.00118,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00031,0.00242,-0.00,-0.02,-0.01,-0.00,0.00242,0.00,-0.00043,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00032,0.00242,0.00,-0.02,-0.01,-0.00,0.00242,0.00,0.00055,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00032,0.00242,0.00,-0.01,-0.02,-0.00,0.00242,0.00,0.00396,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00033,0.00246,0.00,-0.01,-0.02,-0.00,0.00246,0.00,0.00451,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00033,0.00250,0.01,-0.02,-0.02,-0.00,0.00250,0.00,0.00638,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00034,0.00257,0.01,-0.02,-0.02,-0.00,0.00257,0.00,0.00540,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00034,0.00262,0.01,-0.02,-0.01,0.00,0.00262,0.00,0.00716,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00035,0.00269,0.00,-0.02,-0.01,-0.00,0.00269,0.00,0.00243,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00035,0.00271,0.00,-0.02,-0.01,0.00,0.00271,0.00,0.00185,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
