speed_ticks,speed,Kalman_gain,posterior_x_phi,omega_x,omega_y,omega_z,m_lean_angle_meas,m_lean_angle,bias,lean_rate,enc_counts_hand,enc_counts_fork,m_hand_angle,m_fork_angle,steer_rate,m_lean_torque,sil_command,post_fork_pwm,post_hand_pwm,command_fork
0,0.00,0.00039,0.00027,-0.00,-0.02,-0.03,-0.00,0.00027,-0.00,-0.00272,3164,6293,-0.27524,-0.24376,0.53687,0.00,,15785,16384,0.71
0,0.00,0.00039,0.00025,-0.00,-0.01,-0.01,-0.00,0.00025,0.00,-0.00094,3164,6285,-0.27524,-0.23762,0.61353,0.00,,15785,16384,0.71
0,0.00,0.00040,0.00024,-0.00,-0.01,0.00,0.00,0.00024,0.00,-0.00194,3164,6277,-0.27524,-0.23149,0.61366,0.00,,15785,16384,0.71
0,0.00,0.00040,0.00022,-0.01,-0.01,0.00,0.00,0.00022,0.00,-0.01224,3164,6270,-0.27524,-0.22612,0.53686,0.00,,15785,16384,0.71
0,0.00,0.00041,0.00009,-0.01,-0.01,-0.01,0.00,0.00009,0.00,-0.00900,3164,6262,-0.27524,-0.21998,0.61359,0.00,,15785,16384,0.71
0,0.00,0.00041,0.00000,-0.01,-0.01,-0.00,0.00,0.00000,0.00,-0.01037,3164,6253,-0.27524,-0.21308,0.69027,0.00,,15785,16384,0.71
0,0.00,0.00042,-0.00010,-0.01,-0.02,-0.01,0.00,-0.00010,0.00,-0.00661,3164,6244,-0.27524,-0.20618,0.69039,0.00,,15785,16384,0.71
0,0.00,0.00042,-0.00017,-0.00,-0.01,-0.01,0.00,-0.00017,0.00,-0.00234,3164,6236,-0.27524,-0.20004,0.61353,0.00,,15785,16384,0.71
0,0.00,0.00043,-0.00019,0.00,-0.02,-0.02,0.00,-0.00019,0.00,0.00116,3164,6227,-0.27524,-0.19314,0.69027,0.00,,15785,16384,0.71
0,0.00,0.00043,-0.00018,0.00,-0.02,-0.02,0.00,-0.00018,0.00,0.00472,3164,6220,-0.27524,-0.18777,0.53697,0.00,,15785,16384,0.71
0,0.00,0.00044,-0.00013,0.01,-0.02,-0.02,0.00,-0.00013,-0.00,0.00797,3164,6213,-0.27524,-0.18240,0.53682,0.00,,15785,16384,0.71
0,0.00,0.00044,-0.00005,0.00,-0.03,-0.03,0.00,-0.00005,-0.00,0.00424,3164,6205,-0.27524,-0.17626,0.61359,0.00,,15785,16384,0.71
0,0.00,0.00045,-0.00001,0.00,-0.03,-0.03,0.00,-0.00001,-0.00,0.00314,3164,6197,-0.27524,-0.17013,0.61366,0.00,,15785,16384,0.71
0,0.00,0.00045,0.00002,0.01,-0.03,-0.02,0.00,0.00002,-0.00,0.00557,3164,6189,-0.27524,-0.16399,0.61353,0.00,,15785,16384,0.71
0,0.00,0.00046,0.00008,0.00,-0.02,-0.02,0.00,0.00008,-0.00,0.00049,3164,6181,-0.27524,-0.15786,0.61359,0.00,,15785,16384,0.71
0,0.00,0.00046,0.00008,0.00,-0.02,-0.01,0.00,0.00008,0.00,0.00199,3164,6173,-0.27524,-0.15172,0.61366,0.00,,15785,16384,0.71
0,0.00,0.00047,0.00010,0.00,-0.02,-0.02,0.00,0.00010,0.00,0.00438,3164,6164,-0.27524,-0.14482,0.69020,0.00,,15785,16384,0.71
0,0.00,0.00047,0.00015,-0.00,-0.02,-0.02,0.00,0.00015,0.00,-0.00244,3164,6156,-0.27524,-0.13868,0.61366,0.00,,15785,16384,0.71
0,0.00,0.00048,0.00012,-0.00,-0.02,-0.02,-0.00,0.00012,0.00,-0.00079,3164,6147,-0.27524,-0.13178,0.69032,0.00,,15785,16384,0.71
0,0.00,0.00048,0.00012,-0.00,-0.01,-0.01,0.00,0.00012,0.00,-0.00152,3164,6139,-0.27524,-0.12564,0.61359,0.00,,15785,16384,0.71
0,0.00,0.00049,0.00010,-0.00,-0.01,0.00,0.00,0.00010,0.00,-0.00128,3164,6130,-0.27524,-0.11874,0.69034,0.00,,15785,16384,0.71
0,0.00,0.00049,0.00009,-0.01,-0.01,0.00,0.00,0.00009,0.00,-0.00555,3164,6121,-0.27524,-0.11184,0.69025,0.00,,15785,16384,0.71
0,0.00,0.00049,0.00003,-0.01,-0.01,-0.00,0.00,0.00003,0.00,-0.00614,3164,6112,-0.27524,-0.10493,0.69034,0.00,,15785,16384,0.71
0,0.00,0.00050,-0.00003,-0.01,-0.02,-0.01,0.00,-0.00003,0.00,-0.00599,3164,6103,-0.27524,-0.09803,0.69032,0.00,,16973,16384,-0.70
0,0.00,0.00050,-0.00009,-0.00,-0.02,-0.01,0.00,-0.00009,0.00,-0.00353,3164,6094,-0.27524,-0.09113,0.69034,0.00,,16973,16384,-0.70
0,0.00,0.00051,-0.00012,-0.00,-0.02,-0.01,0.00,-0.00012,0.00,-0.00200,3164,6086,-0.27524,-0.08499,0.61353,0.00,,16973,16384,-0.70
0,0.00,0.00051,-0.00014,-0.00,-0.02,-0.01,0.00,-0.00014,0.00,-0.00048,3164,6078,-0.27524,-0.07886,0.61366,0.00,,16973,16384,-0.70
0,0.00,0.00052,-0.00015,0.00,-0.02,-0.01,0.00,-0.00015,0.00,0.00433,3164,6072,-0.27524,-0.07425,0.46020,0.00,,16973,16384,-0.70
0,0.00,0.00052,-0.00011,0.00,-0.02,-0.02,0.00,-0.00011,-0.00,0.00144,3164,6067,-0.27524,-0.07042,0.38343,0.00,,16973,16384,-0.70
0,0.00,0.00053,-0.00009,-0.00,-0.02,-0.02,-0.00,-0.00009,-0.00,-0.00098,3164,6064,-0.27524,-0.06812,0.23012,0.00,,16973,16384,-0.70
0,0.00,0.00053,-0.00010,0.00,-0.02,-0.01,-0.00,-0.00010,-0.00,0.00364,3164,6062,-0.27524,-0.06658,0.15341,0.00,,16973,16384,-0.70
0,0.00,0.00054,-0.00006,0.00,-0.02,-0.02,0.00,-0.00006,-0.00,0.00218,3164,6061,-0.27524,-0.06582,0.07667,0.00,,16973,16384,-0.70
0,0.00,0.00054,-0.00004,0.00,-0.02,-0.02,0.00,-0.00004,-0.00,0.00124,3164,6061,-0.27524,-0.06582,0.00000,0.00,,16973,16384,-0.70
0,0.00,0.00055,-0.00003,0.01,-0.02,-0.01,0.00,-0.00003,-0.00,0.00531,3164,6061,-0.27524,-0.06582,0.00000,0.00,,16973,16384,-0.70
0,0.00,0.00055,0.00002,0.00,-0.02,-0.02,0.00,0.00002,-0.00,0.00140,3164,6061,-0.27524,-0.06582,0.00000,0.00,,16973,16384,-0.70
0,0.00,0.00056,0.00004,0.00,-0.02,-0.02,0.00,0.00004,-0.00,0.00117,3164,6063,-0.27524,-0.06735,-0.15341,0.00,,16973,16384,-0.70
0,0.00,0.00056,0.00005,0.00,-0.02,-0.02,0.00,0.00005,-0.00,0.00129,3164,6066,-0.27524,-0.06965,-0.23005,0.00,,16973,16384,-0.70
0,0.00,0.00057,0.00006,-0.00,-0.02,-0.02,0.00,0.00006,-0.00,-0.00131,3164,6070,-0.27524,-0.07272,-0.30683,0.00,,16973,16384,-0.70
