speed_ticks,speed,Kalman_gain,posterior_x_phi,omega_x,omega_y,omega_z,m_lean_angle_meas,m_lean_angle,bias,lean_rate,enc_counts_hand,enc_counts_fork,m_hand_angle,m_fork_angle,steer_rate,voltage_mtr_driver,m_hand_torque,m_lean_torque,sil_command,post_fork_pwm,post_hand_pwm,command_fork,command_hand
0,0.00,0.00027,-0.00013,-0.00,-0.02,-0.01,-0.00,-0.00013,-0.00,-0.00086,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,813,,16384,16384,0.00,0.00
0,0.00,0.00027,-0.00014,-0.00,-0.01,-0.01,-0.00,-0.00014,-0.00,-0.00090,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,814,,16384,16384,0.00,0.00
0,0.00,0.00028,-0.00015,0.00,-0.02,-0.01,-0.00,-0.00015,-0.00,0.00039,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,815,,16384,16384,0.00,0.00
0,0.00,0.00028,-0.00014,-0.00,-0.02,-0.01,-0.00,-0.00014,-0.00,-0.00036,3379,6851,-0.11034,-0.67174,0.00000,1.67742,0.10565,817,,16384,16384,0.00,0.00
0,0.00,0.00029,-0.00014,-0.00,-0.02,-0.02,-0.00,-0.00014,-0.00,-0.00012,3379,6851,-0.11034,-0.67174,0.00000,1.67742,0.10565,814,,16384,16384,0.00,0.00
0,0.00,0.00029,-0.00015,0.00,-0.01,-0.01,-0.00,-0.00015,-0.00,0.00118,3379,6851,-0.11034,-0.67174,0.00000,1.67742,0.10565,813,,16384,16384,0.00,0.00
0,0.00,0.00030,-0.00013,-0.00,-0.01,-0.01,-0.00,-0.00013,-0.00,-0.00085,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,815,,16384,16384,0.00,0.00
0,0.00,0.00030,-0.00014,0.00,-0.02,-0.01,-0.00,-0.00014,-0.00,0.00372,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,815,,16384,16384,0.00,0.00
0,0.00,0.00031,-0.00011,0.00,-0.02,-0.02,-0.00,-0.00011,-0.00,0.00074,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,814,,16384,16384,0.00,0.00
0,0.00,0.00031,-0.00010,-0.00,-0.02,-0.01,-0.00,-0.00010,-0.00,-0.00028,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,814,,16384,16384,0.00,0.00
