speed_ticks,speed,Kalman_gain,posterior_x_phi,omega_x,omega_y,omega_z,m_lean_angle_meas,m_lean_angle,bias,lean_rate,enc_counts_hand,enc_counts_fork,m_hand_angle,m_fork_angle,steer_rate,sil_command,post_fork_pwm,post_hand_pwm
1,0.01,0.00047,0.04340,0.01078,-0.02,-0.01,-0.05,0.04,0.00,0.01077,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00047,0.04347,0.00752,-0.02,-0.01,0.04,0.04,0.00,0.00751,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00048,0.04354,0.01003,-0.02,-0.01,-0.03,0.04,0.00,0.01002,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00048,0.04360,0.01045,-0.02,-0.02,-0.01,0.04,0.00,0.01045,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00049,0.04368,0.01057,-0.02,-0.02,-0.01,0.04,0.00,0.01056,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00049,0.04376,0.00947,-0.02,-0.02,-0.01,0.04,0.00,0.00946,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00049,0.04383,0.01022,-0.02,-0.01,-0.02,0.04,0.00,0.01021,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00050,0.04390,0.01045,-0.02,-0.02,-0.01,0.04,0.00,0.01045,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00050,0.04398,0.00548,-0.02,-0.02,-0.00,0.04,0.00,0.00547,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00051,0.04401,0.00626,-0.02,-0.02,-0.02,0.04,0.00,0.00625,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00051,0.04404,0.00557,-0.01,-0.01,-0.04,0.04,0.00,0.00556,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00052,0.04405,0.00251,-0.02,-0.01,-0.04,0.04,0.00,0.00250,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00052,0.04403,0.00455,-0.01,-0.01,-0.04,0.04,0.00,0.00454,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00053,0.04403,0.00254,-0.02,-0.01,-0.02,0.04,0.00,0.00253,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00053,0.04402,0.00106,-0.02,-0.01,0.03,0.04,0.00,0.00105,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00054,0.04403,0.00016,-0.02,-0.01,-0.06,0.04,0.00,0.00015,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00054,0.04397,-0.00215,-0.02,-0.01,0.05,0.04,0.00,-0.00216,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00055,0.04396,-0.00320,-0.01,-0.01,-0.05,0.04,0.00,-0.00322,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00055,0.04387,-0.00493,-0.02,-0.01,-0.03,0.04,0.00,-0.00495,3085,5998,-0.35,-0.10,0.00,,16731,16540
