hand_angle, fork_angle, lean_angle, fork_rate, lean_rate, hand_torque, bike_speed, command_fork, command_hand 
-14.33,-13.72,730939.44,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,734452.00,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,737964.50,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,741477.00,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,744989.56,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,748502.19,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,752014.69,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,755527.25,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,759039.81,0.00,0.04,6.00,0.00,-1.22,-0.55
-14.33,-13.72,762552.31,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,766064.81,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,769577.38,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,773090.06,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,776602.63,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,780115.13,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,783627.75,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,787140.25,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,790652.75,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,794165.25,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,797677.75,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,801190.25,0.00,0.04,4.00,0.00,-1.22,-0.55
-14.33,-13.72,804702.75,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,808215.25,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,811727.81,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,815240.31,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,818752.81,0.00,0.04,1.00,0.00,-1.22,-0.55
-14.33,-13.72,822265.44,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,825777.94,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,829290.50,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,832803.00,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,836315.63,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,839828.13,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,843340.75,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,846853.25,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,850365.75,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,853878.25,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,857390.81,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,860903.38,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,864415.94,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,867928.44,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,871440.94,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,874953.44,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,878466.06,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,881978.56,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,885491.06,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,889003.63,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,892516.25,0.00,0.04,15.00,0.00,-1.22,-0.55
-14.33,-13.72,896028.75,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,899541.31,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,903053.81,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,906566.44,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,910078.94,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,913591.56,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,917104.06,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,920616.56,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,924129.19,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,927641.69,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,931154.19,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,934666.69,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,938179.19,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,941691.75,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,945204.31,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,948716.81,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,952229.31,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,955741.81,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,959254.44,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,962766.94,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,966279.44,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,969791.94,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,973304.50,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,976817.00,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,980329.56,0.00,0.04,9.00,0.00,-1.22,-0.55
-14.33,-13.72,983842.06,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,987354.69,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,990867.19,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,994379.69,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,997892.19,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,1001404.69,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,1004917.19,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,1008429.81,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,1011942.31,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,1015454.81,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,1018967.38,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,1022479.88,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,1025992.38,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,1029504.88,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,1033017.38,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,1036529.88,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,1040042.44,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,1043554.94,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,1047067.56,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,1050580.00,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,1054092.75,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,1057605.25,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,1061117.75,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,1064630.25,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,1068142.75,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,1071655.25,0.00,0.04,14.00,0.00,-1.22,-0.55
-14.33,-13.72,1075167.75,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,1078680.25,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,1082192.75,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,1085705.25,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,1089217.75,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,1092730.25,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,1096242.75,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,1099755.25,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,1103267.75,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,1106780.25,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,1110292.75,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,1113805.25,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,1117317.75,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,1120830.25,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,1124342.75,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.24,-13.72,1127855.25,0.00,0.04,0.00,0.00,-1.05,-0.47
-14.02,-13.63,1131367.75,0.00,0.04,0.00,0.00,-0.78,-0.35
-14.02,-13.63,1134880.25,0.00,0.04,0.00,0.00,-0.78,-0.35
-14.02,-13.63,1138392.87,0.00,0.04,9.00,0.00,-0.78,-0.35
-14.02,-13.63,1141905.37,0.00,0.04,0.00,0.00,-0.78,-0.35
-14.02,-13.63,1145417.87,0.00,0.04,0.00,0.00,-0.78,-0.35
-14.02,-13.63,1148930.37,0.00,0.04,0.00,0.00,-0.78,-0.35
-14.02,-13.63,1152443.00,0.00,0.04,0.00,0.00,-0.78,-0.35
-14.02,-13.63,1155955.75,0.00,0.04,0.00,0.00,-0.78,-0.35
-14.02,-13.63,1159468.37,0.00,0.04,0.00,0.00,-0.78,-0.35
-14.02,-13.63,1162980.87,0.00,0.04,0.00,0.00,-0.78,-0.35
-14.02,-13.63,1166493.37,0.00,0.04,0.00,0.00,-0.78,-0.35
-14.02,-13.63,1170005.87,0.00,0.04,0.00,0.00,-0.78,-0.35
-14.02,-13.63,1173518.37,0.00,0.04,0.00,0.00,-0.78,-0.35
-14.02,-13.63,1177031.00,0.00,0.04,0.00,0.00,-0.78,-0.35
-14.02,-13.63,1180543.50,0.00,0.04,0.00,0.00,-0.78,-0.35
