raw_hand_torque,transducer_byte,sil_command,speed,lean_angle,lean_rate,hand_angle,fork_angle,fork_rate,lean_torque,hand_torque,command_fork,command_hand
,818,,0.00000,0.00924,0.00156,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.00925,0.00572,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.00931,0.00717,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.00937,0.00572,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.00942,0.00670,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,820,,0.00000,0.00948,0.00894,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,824,,0.00000,0.00957,0.00968,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,820,,0.00000,0.00966,0.00921,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,820,,0.00000,0.00974,0.00674,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.00980,0.00831,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.00988,0.00670,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.00994,0.00584,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,832,,0.00000,0.00999,0.00851,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.01007,0.00541,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,820,,0.00000,0.01012,0.00748,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.01018,0.00658,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.01024,0.00670,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.01030,0.00858,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.01038,0.00854,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.01046,0.00897,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.01054,0.00995,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.01063,0.00822,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.01070,0.00987,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,820,,0.00000,0.01079,0.00768,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.01086,0.00764,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.01093,0.00893,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,822,,0.00000,0.01101,0.00979,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.01110,0.00842,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.01117,0.00595,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.01122,0.00811,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.01130,0.01006,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.01139,0.00807,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.01146,0.00768,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.01152,0.00568,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.01157,0.00874,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.01165,0.00560,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.01169,0.00995,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.01178,0.00764,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.01185,0.00776,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,820,,0.00000,0.01191,0.00439,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,820,,0.00000,0.01195,0.00991,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.01203,0.00971,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.01212,0.00470,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.01216,0.00873,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.01223,0.00972,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.01232,0.00897,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.01239,0.00866,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.01247,0.00924,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,820,,0.00000,0.01255,0.01007,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.01264,0.00897,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.01272,0.00818,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
