0  0  0 - 0.00  0.00 - 41.66  41.66 - 0.00
0  0  0 - 0.00  0.00 - 41.86  41.86 - 0.00
0  0  0 - 0.00  0.00 - 42.05  42.05 - 0.00
0  0  0 - 0.00  0.00 - 42.24  42.24 - 0.00
0  0  0 - 0.00  0.00 - 42.43  42.43 - 0.00
0  0  0 - 0.00  0.00 - 42.62  42.62 - 0.00
0  0  0 - 0.00  0.00 - 42.82  42.82 - 0.00
0  0  0 - 0.00  0.00 - 43.01  43.01 - 0.00
0  0  0 - 0.00  0.00 - 43.20  43.20 - 0.00
0  0  0 - 0.00  0.00 - 43.39  43.39 - 0.00
0  0  0 - 0.00  0.00 - 43.58  43.58 - 0.00
0  0  0 - 0.00  0.00 - 43.78  43.78 - 0.00
0  0  0 - 0.00  0.00 - 43.97  43.97 - 0.00
0  0  0 - 0.00  0.00 - 44.16  44.16 - 0.00
0  0  0 - 0.00  0.00 - 44.35  44.35 - 0.00
0  0  0 - 0.00  0.00 - 44.54  44.54 - 0.00
0  0  0 - 0.00  0.00 - 44.74  44.74 - 0.00
0  0  0 - 0.00  0.00 - 44.93  44.93 - 0.00
0  0  0 - 0.00  0.00 - 45.12  45.12 - 0.00
0  0  0 - 0.00  0.00 - 45.31  45.31 - 0.00
0  0  0 - 0.00  0.00 - 45.50  45.50 - 0.00
0  0  0 - 0.00  0.00 - 45.70  45.70 - 0.00
0  0  0 - 0.00  0.00 - 45.89  45.89 - 0.00
0  0  0 - 0.00  0.00 - 46.08  46.08 - 0.00
0  0  0 - 0.00  0.00 - 46.27  46.27 - 0.00
0  0  0 - 0.00  0.00 - 46.46  46.46 - 0.00
0  0  0 - 0.00  0.00 - 46.66  46.66 - 0.00
0  0  0 - 0.00  0.00 - 46.85  46.85 - 0.00
0  0  0 - 0.00  0.00 - 47.04  47.04 - 0.00
0  0  0 - 0.00  0.00 - 47.23  47.23 - 0.00
0  0  0 - 0.00  0.00 - 47.42  47.42 - 0.00
0  0  0 - 0.00  0.00 - 47.62  47.62 - 0.00
0  0  0 - 0.00  0.00 - 47.81  47.81 - 0.00
0  0  0 - 0.00  0.00 - 48.00  48.00 - 0.00
0  0  0 - 0.00  0.00 - 48.19  48.19 - 0.00
0  0  0 - 0.00  0.00 - 48.38  48.38 - 0.00
0  0  0 - 0.00  0.00 - 48.58  48.58 - 0.00
0  0  0 - 0.00  0.00 - 48.77  48.77 - 0.00
0  0  0 - 0.00  0.00 - 48.96  48.96 - 0.00
0  0  0 - 0.00  0.00 - 49.15  49.15 - 0.00
0  0  0 - 0.00  0.00 - 49.34  49.34 - 0.00
0  0  0 - 0.00  0.00 - 49.54  49.54 - 0.00
0  0  0 - 0.00  0.00 - 49.73  49.73 - 0.00
0  0  0 - 0.00  0.00 - 49.92  49.92 - 0.00
0  0  0 - 0.00  0.00 - 50.11  50.11 - 0.00
0  0  0 - 0.00  0.00 - 50.30  50.30 - 0.00
0  0  0 - 0.00  0.00 - 50.50  50.50 - 0.00
0  0  0 - 0.00  0.00 - 50.69  50.69 - 0.00
0  0  0 - 0.00  0.00 - 50.88  50.88 - 0.00
0  0  0 - 0.00  0.00 - 51.07  51.07 - 0.00
0  0  0 - 0.00  0.00 - 51.26  51.26 - 0.00
0  0  0 - 0.00  0.00 - 51.46  51.46 - 0.00
0  0  0 - 0.00  0.00 - 51.65  51.65 - 0.00
0  0  0 - 0.00  0.00 - 51.84  51.84 - 0.00
0  0  0 - 0.00  0.00 - 52.03  52.03 - 0.00
0  0  0 - 0.00  0.00 - 52.22  52.22 - 0.00
0  0  0 - 0.00  0.00 - 52.42  52.42 - 0.00
0  0  0 - 0.00  0.00 - 52.61  52.61 - 0.00
0  0  0 - 0.00  0.00 - 52.80  52.80 - 0.00
0  0  0 - 0.00  0.00 - 52.99  52.99 - 0.00
0  0  0 - 0.00  0.00 - 53.18  53.18 - 0.00
0  0  0 - 0.00  0.00 - 53.38  53.38 - 0.00
0  0  0 - 0.00  0.00 - 53.57  53.57 - 0.00
0  0  0 - 0.00  0.00 - 53.76  53.76 - 0.00
0  0  0 - 0.00  0.00 - 53.95  53.95 - 0.00
0  0  0 - 0.00  0.00 - 54.14  54.14 - 0.00
0  0  0 - 0.00  0.00 - 54.34  54.34 - 0.00
0  0  0 - 0.00  0.00 - 54.53  54.53 - 0.00
0  0  0 - 0.00  0.00 - 54.72  54.72 - 0.00
0  0  0 - 0.00  0.00 - 54.91  54.91 - 0.00
0  0  0 - 0.00  0.00 - 55.10  55.10 - 0.00
0  0  0 - 0.00  0.00 - 55.30  55.30 - 0.00
0  0  0 - 0.00  0.00 - 55.49  55.49 - 0.00
0  0  0 - 0.00  0.00 - 55.68  55.68 - 0.00
0  0  0 - 0.00  0.00 - 55.87  55.87 - 0.00
0  0  0 - 0.00  0.00 - 56.06  56.06 - 0.00
0  0  0 - 0.00  0.00 - 56.26  56.26 - 0.00
0  0  0 - 0.00  0.00 - 56.45  56.45 - 0.00
0  0  0 - 0.00  0.00 - 56.64  56.64 - 0.00
0  0  0 - 0.00  0.00 - 56.83  56.83 - 0.00
